,text,target
65,caitlyn jenner pose nude sport illustr cover ball censor sad michael jordan face,true
66,peopl blame massacr orlando nra newsflash orlando shooter nra member regist democrat,true
67,ottawa polic confirm multipl suspect shoot say possibl shooter,true
68,local school art project titl candlelight,true
69,look innoc without hood would never think london rapper abdel maje abdel bari behead foley,true
70,target stock taken billion hit insist insult regular custom,true
71,one thing say giant goliath birdeat spider,true
72,got one planet watch share progress made protect actonclim,false
73,fast furiou delay scrap follow paul walker death report,true
74,hey tweet statement say pay compens darren wilson interview silent ferguson,true
75,u justic depart phase use privat own prison cite safeti concern,false
76,tesla say broken ground near reno nevada billion batteri plant,true
77,newsflash orlando shooter muslim democrat republican christian gayprid,true
78,fact malaysia airlin mh shot may hinder insur payout,true
79,bowi last album part gift fan care plan final,false
80,judg issu search warrant seizur passport u swimmer includ ryan locht around alleg robberi,false
81,oscarnom nomin best actress lead role,false
82,fbi probe alleg audio michael brown shoot,true
83,nine briton u citizen child fear dead mh jet shot,true
84,shot plane black box unansw question mh,true
85,pregnant ferguson woman blind shot face polic bean bag video,true
86,twerk louisiana realli get mandatori day jail,true
87,leo first sag sagaward,false
88,one third vegetarian eat meat get drunk,true
89,man portray marlboro man die smoke relat diseas,true
90,hillari surroagt bob beckel call assassin julian assang,true
91,speed play part paul walker death,true
92,break tesla choos nevada gigafactori sourc tell cnbc,true
93,list overnight arrest ferguson much higher offici report via,true
94,updat downtown ottawa lockdown polic say,true
95,actor play marlboro man ad die smoke relat diseas,true
96,hobbi lobbi ask ferguson pd clarif thought chop someon hand maximum penalti shoplift,true
97,deandr joshua shot head torch childhood friend w sole close wit mike brown murder,true
98,fort hood shooter reportedli drawn g salari sinc massacr,true
99,employe chick fil said ban use slang bae bruh ratchet,true
100,cut everi singl path iran could use build bomb potu irand,false
101,mother reveng afghan woman kill taliban milit son shot dead,true
102,oh rt hong kong hand shoot emul ferguson protest power imag,true
103,target boycott cross million signer stock sink billion,true
104,mh,true
105,happi nationalchocolatecakeday,false
106,dorito flavor mountain dew real thing,true
107,read thing talk angela talk angela get person info talk angela access photo,true
108,lazi trait black book quot trump say,true
109,break news isi execution jihadi john reportedli wound air strike big scoop tomorrow mo,true
110,want live planet anymor rt pepsi make dorito flavor mountain dew dewito,true
111,old banksi arrest hoax back buy,true
112,north korea medium say kim jong un made appear day miss,true
113,report christian bale play steve job,true
114,report miss afghan soldier found tri cross canada sourc say wcvb fix typo,true
115,know obama daughter pregnant,true
116,thing success peopl breakfast,false
117,pictur kevin vicker moment shoot dead canadian parliament attack,true
118,mexico secur forc hunt miss student clash polic find mass grave,true
119,hour five road trip time break pen,true
120,dog found abandon scottish train station suitcas fill belong,true
121,afghan woman kill taliban milit son shot dead bravo v,true
122,japanes prime minist shinzo abe rio close ceremoni super mario dream,false
123,corpor sold spun trillion worth subsidiari biz line year,true
124,highli radioact water seep ocean japan crippl fukushima nuclear plant,true
125,paul walker death fast furiou delay scrap,true
126,goodby elli may beverli hillbilli star donna dougla dead report say,true
127,peek behind curtain save american video,true
128,thexfil episod watch return,false
129,fbi super piss white hous meddl,false
130,uk accept child refuge syria conflict zone fled europ,false
131,one reason abolish penni plastic money worth real money need new money,false
132,afternoon bo sunni snow,false
133,line polic car high beam greet anyon tri enter ferguson shut medium allow,true
134,run chocol warn world largest chocol manufactur,true
135,get readi bing watch gilmoregirl come back time,false
136,ufc conor mcgregor first fight ever go championship round made,false
137,win maci stop stock sodastream bd palestin,true
138,three miss afghan offic custodi canada border polic say,true
139,fuck advanc writer site late night show host etc make joke michael phelp girlfriend intersex,true
140,poll show percent german want merkel resign refuge polici,false
141,confirm pepsico make dorito flavor mountain dew call dewito,true
142,r p paul walker die love,true
143,darren wilson six year veteran ferguson polic disciplinari action,true
144,raven symon blast bill cosbi rape stori,true
145,meet south american goliath birdeat spider size puppi,true
146,bet big rescu american auto industri today roar back,false
147,presid obama skip nanci reagan funer order attend south southwest,true
148,okla behead victim colleen hufford rest peac behead jihad jahkeemyisrael,true
149,break ap sourc tesla motor select nevada site b electr car batteri factori,true
150,fast furiou star paul walker dead car crash next samuel l jackson kill snake plane,true
151,offici say know extent al baghdadi appar injuri,true
152,eagl co founder glenn frey die age,false
153,well done scotland p carrier bag charg yr old today cut usag le bag good caus,true
154,macklemorejoinedisi,true
155,also rip roger roda man die along paul walker seem never mention,true
156,death toll bachakhanuniattack rise least armi offici say fire stop campu search,false
157,alan rickman goodby letter harri potter perfect,false
158,hong kong hand shoot emul ferguson protest power imag,true
159,twenti four year old cpl nathan cirillo shot dead today war memori ottawa cdnpoli ottawashoot,true
160,good day see possibl strong american diplomaci potu irand,false
161,kim jong un broke ankl fat,true
162,conserv cauca inform soldier shot war memori ottawa morn die sad develop shock day,true
163,sad man tear banana larger bunch,false
164,obama skip nanci reagan funer scalia time attend sxsw,true
165,rip driver die paulwalk one care famou,true
166,donald trump form punish woman abort,true
167,bank japan introduc neg interest rate counter ongo econom slump surpris move,false
168,isi behead photojournalist jame wright foley massag u end intervent iraq,true
169,whether sidelin retir commun nc got dab via piedmont cross fb,false
170,kill deandr joshua still question answer regard year old murder ferguson,true
171,black men may run polic massachusett high court say,true
172,break soldier shot war memori ottawa hill lockdown shooter larg ottnew,true
173,joseph pena joseph pena high school joseph pena squat pound watch,false
174,suicid bomber kill least turkey age state run news agenc quot presid say,false
175,open letter top strategist turn defector,true
176,gerrymand even infuri actual see,false
177,donald trump lazi trait black realli believ anyth control,true
178,concern airport passeng suit homemad hazmat flight,true
179,develop news soldier shot war memori watch cbc nn coverag follow onlin,true
180,avoid p bag charg use enter win set,true
181,break news obama administr file feder charg georg zimmerman ontheroadtojustic,true
182,report toronto seattl quebec citi join vega nhl expans,true
183,tradit beer author believ poison crocodil bile kill peopl mozambiqu,true
184,sander latino vote accord sampl data compar clinton nvcaucu,true
185,offici gilmoregirl come back get detail netflix reviv,false
186,donna dougla elli may clampett beverli hillbilli die,true
187,test find human dna hot dog meat vegetarian product,true
188,hot pocket recal involv meat place fda say process diseas unsound anim,true
189,islam tribun texa oper sharia law wtf lodisilverado tcot,true
190,berni sander nevada caucu nvcaucu,true
191,school satan club,true
192,sydney opera hous evacu concours desert sydneysieg via,true
193,photo black nurs save life kkk member,true
194,isi kill babi afflict syndrom disabl activist claim,true
195,colombian govern left wing farc rebel movement agre ceasefir end decad long conflict,false
196,updat ferguson polic releas still conveni store footag show robberi,true
197,get free jr frosti everi purchas get frosti key tag help support,true
198,chick fil manag allegedli ban word bae fleek ratchet work,true
199,list overnight arrest ferguson show much higher number offici report,true
200,studi conclud clinton camp statist basi back claim latino vote nv,true
201,least migrant includ child drown boat sink turkey greec,false
202,north korea may prepar missil launch,false
203,watch weekli address give everi student opportun learn comput scienc,false
204,saudi cleric declar build snowman anti islam,true
205,trump support could stand middl th ave shoot somebodi would lose voter,false
206,boko haram burn child aliv attack nigerian villag wit say,false
207,minor leaguer hit grand slam later find broke windshield,false
208,come texa confirm islam tribun use sharia law texa,true
209,internet thing secur bad search engin sleep kid,false
210,law enforc offici say shooter myron may graduat florida state,true
211,best quot davo,false
212,ap video polic say speed factor l crash kill includ fast furiou actor paul walker,true
213,break malaysia airlin plane shot carri peopl,true
214,shot fire canada nation war memori ottawa ceremoni guard shot polic say,true
215,irish european ioc chief patrick hickey arrest rio illeg olymp ticket sale brazil medium report,false
216,anoth letter parent includ lego set,true
217,keep c line dion thought brother daniel die cancer age,false
218,donald spunktrumpet former commun director stephani cegielski resign written,true
219,keith richard pull knife donald trump claim roll stone former promot,true
220,truth bomb drop first solo broadcast interview zaynonbeat,false
221,massachusett court find reason black men run polic avoid racial profil,true
222,claim obama use shutdown scuttl amber alert system reveal ignor amber alert,true
223,race poll prove berni sander hispan vote nevada,true
224,start bottom whole team sagaward,false
225,starbuck test new latt tast exactli like guin,true
226,afghan woman kill taliban rebel aveng son murder,true
227,truth nod releas hundr declassifi doc,false
228,russian boy shock electr claim superpow like magneto,true
229,wake late pre game skate vega like nhl expans,true
230,kentucki lead kansa half tyler uli score assist wildcat field goal,false
231,iraqi offici say isi leader wound airstrik,true
232,video hero sergeant arm kevin vicker return parliament incred welcom,true
233,best thing p plastic bag charg cupboard next sink worth,true
234,hey look like oh rt photo vladimir putin motorcad post without comment,true
235,break news miss afghan soldier found tri cross canada rainbow bridg niagara fall ny nbc,true
236,letter alan rickman wrote u back upon complet harri potter deathli hallow,false
237,first femal candid presid victoria woodhul nhpolit tcot,true
238,potu announc new action advanc equalpay need know,false
239,polic report releas morn indic mike brown suspect strong arm robberi ferguson,true
240,brandon marshal visit offer advic support brother fallen hero zaevion dobson,false
241,underestim woman afghan woman call reza gul kill taliban hour gun battl,true
242,ukrainian militari jet fli close mh shot say russian offic,true
243,view incom rt iphon plu bend test,true
244,open letter trump voter top strategist turn defector amaz first person account via,true
245,three passport stamp three data center give big welcom tokyo mexico citi frankfurt,true
246,donald trump campaign chairman paul manafort resign,false
247,photo taken tourist nation war memori shortli nathan cirillo shot kill,true
248,boko haram burn kid aliv northeast nigeria wit say,false
249,life obama america govt offici threaten prosecut american famili tri save love one,true
250,happi birthday man brought sexi back,false
251,person one season ahead tv show dole counsel like wise elder,false
252,presid daughter malia obama spot wear pro era shirt,true
253,macklemor delet tweet macklemorejoinedisi,true
254,colleg graduat first person famili wast,false
255,dead list ban slang chick fil manag,true
256,photo taken tourist nation war memori shortli nathan cirillo shot kill,true
257,dozen peopl kill car bomb suicid bomb near damascu syria state medium say,false
258,tyre crash site paul walker die proper feel,true
259,break huge explos oil pipelin belong near sudair saudiarabia,true
260,world let cop kill someon leav town ferguson,true
261,closest adult get believ santa clau forget order someth amazon,false
262,power cartoon charli hebdo attack banksi,true
263,nyc pride parad orlando republican hate kill orlando shooter muslim democrat,true
264,break k patient risk ebola strict isol ku med center kansa citi kwch,true
265,arrest overnight ferguson,true
266,boy meet mac budweis famili new babi clydesdal budweis clydesdal,false
267,surpris surpris laker icon learn would honor w stapl center statu,false
268,max baer describ donna dougla elli may day die cb,true
269,prayer friend tyre emot messag paul walker got u choke,true
270,arrest busi new banksi mural appear bristol pic banksi,true
271,hewlett packard split two compani wsj say,true
272,presid argentina adopt jewish godson stop turn werewolf,true
273,icymi selena killer former fan club presid releas earli prison,true
274,potu announc new reform address overus solitari confin,false
275,thumb emoji rt someon spray paint peni million bugatti veyron,true
276,behead suspect attend mosqu terrorist moor oklahoma alton nolen man behead,true
277,offici french terror suspect want martyr hole hostag north pari,true
278,paul walker fast furiou costar react actor tragic death,true
279,florida woman surgeri add third breast make unatttract men,true
280,updat parliament hill attack soldier die injuri gunman shot dead ottawashoot,true
281,walmart donat darrenwilson fund continu polic racial profil brutal murder black peopl,true
282,bird poop putin say violenc beget violenc open monument st world war,true
283,justin bieber rington save russian fisherman potenti fatal bear attack,true
284,break news banksi arrest cover blown,true
285,half sleev oreo lost hous fire,false
286,goliath encount puppi size spider surpris scientist rainforest,true
287,soldier kill war memori identifi cpl nathan cirillo,true
288,talk angela actual bori laursen like stole person inform go,true
289,chick fil manag allegedli ban hilari list slang word,true
290,rip driver roger die paul walker one talk famou,true
291,nonwhit actor nearli swept everi nomin categori sagaward,false
292,darren wilson got k abc interview plu k donat killer millionair liter,true
293,beauti global solidar hongkong protest march hand shoot gestur ferguson,true
294,vladimir putin motorcad seen air,true
295,nineti took drug french clinic trial left one brain dead five hospitalis health minist say,false
296,r p driver die paul walker one care famou,true
297,america nation second chanc potu new reform solitari confin,false
298,help score team batman team superman let u know empirebv,false
299,greec serious neglect oblig control extern border european commiss say draft report,false
300,ferguson protestor accident burn home blame busi fd fail respond call help,true
301,convers x japan yoshiki documentarian stephen kijak,false
302,break news isi behead british hostag david hain messag america partner,true
303,still confus highli train individu left id getaway car charliehebdo,true
304,oregon commun help mother boy punish tardi due vehicl problem,true
305,actor portray marlboro man cigarett ad late die smoke relat diseas,true
306,uk aid worker david hain behead isi rememb great give man way isi want,true
307,know mostli long articl book right,false
308,year old conserv cj pearson defend giuliani comment obama facebook get shut,true
309,la vega raider,false
310,hug closingceremoni photo rob schumach,false
311,parliament hill lockdown soldier shot ottawa war memori south east block,true
312,rt good news take new step advanc equalpay woman,false
313,target boycott cross million signer stock sink billion breitbart,true
314,fang deer pop afghanistan year last appear,true
315,peni graffiti drawn bugatti veyron,true
316,break show solidar hongkong ferguson hand shoot,true
317,twenti five stori prove target pro tran bathroom polici danger,true
318,lego letter still offer power messag parent year later,true
319,transgend teen leav heartbreak suicid note tumblr get hit truck,true
320,mike brown stay grandmoth summer live commun ferguson,true
321,canadian author given name suspect ottawa attack fed ask fbi assist sr law enforc offici,true
322,killer american rank chang littl year,true
323,mass grave found mexico near area student vanish confront polic,true
324,banksi arrest,true
325,jew anywher target jewish must respond togeth potu,false
326,fast furiou star heartbreakingli mourn paul walker death,true
327,greek island nomin nobel peac prize,false
328,sloth cling pole ecuador much see week photo,false
329,hey guy target back check usa today articl boycott,true
330,cop swarm thheaven star stephen collin home suicid report,true
331,break malaysia airlin passeng shot near russian border ukrain,true
332,say love fri,true
333,calm everyon banksi arrest banksi,true
334,ok mt photo passeng dull wait flight wear hazmat suit,true
335,million dead bloodiest black friday weekend record,true
336,forti percent german want angela merkel resign refuge polici poll show,false
337,breakfast around,true
338,talk angela app hack ask person inform spread word,true
339,attorney new audio reveal paus gunfir michael brown shot,true
340,iphon owner claim bend pocket,true
341,p bag charg fi dead robthisengland,true
342,giant puppi size spider found south america said world largest,true
343,soldier shot nation war memori ottawa,true
344,hillari clinton victoria woodhul pro life feminist ran nomin presid,true
345,viral mexico mass grave discov student protest go miss,true
346,miami desper turnov instead nc state got dunk big upset win,false
347,betti white die today steal joan thunder unleash reign terror upon nation like never seen,true
348,motor world respond paul walker death,true
349,banksi account join cartoonist support charliehebdo jesuischarli,true
350,planet nine may exist edg solar system claim astronom,false
351,slick polic chief creat narr mikebrown suspect robberi ferguson,true
352,u govt reportedli threaten prosecut famili kidnap journalist jim foley paid ransom h,true
353,mexican presid pena nieto plagiar law thesi report say,false
354,got violent pregnant woman shot ferguson cop sit car tuesday lose eye,true
355,photo prove terrorist use chemic weapon kurd koban airdrop koban kurdistan isi,true
356,year old girl wake brain surgeri ask doctor go,true
357,polic shut restaur offic cut mouth shard glass found sandwich,true
358,young woman shot nerf bullet ferguson polic offic lost eye,true
359,aliv see soon,true
360,first pic site ukrain mh crash,true
361,woman stab paedophil death east london three half year jail term doubl,false
362,betti white never die ladi still never sex,true
363,fbi assist case ottawa shoot sourc confirm ctv news,true
364,caitlyn jenner pose nude sport illustr cover noth say sexi like year old chick ball,true
365,malia obama wear shirt anti white anti cop rap group nypd barbarabox respectformuslim blackprivileg,true
366,remark despit militari style polic presenc ferguson known killer abl skip town,true
367,massachusett court find reason black men run polic avoid racial profil,true
368,break news cb report multipl suspect larg shot fire canadian parliament,true
369,cool dog mt goliath encount puppi size spider surpris scientist rainforest,true
370,undef high school wrestler lost purpos oppon syndrom,false
371,hoppla swiss rumor putin absenc due girlfriend alina give birth ticino,true
372,trump top strategist stephani cegielski quit campaign wrote open letter trump support,true
373,good fanci swiss brand philli steak chees link massiv beef recal food,true
374,open letter trump voter top strategist stop support want win,true
375,latest malaysia airlin mh shot surfac air missil offici say,true
376,well one way quit job watch alaskan report charlo green quit live air,true
377,monday remind dorito flavor mountain dew exist,true
378,today mark yr sinc liber auschwitz citi death holocaustmemorialday,false
379,hong kong protest use hand shoot gestur ferguson,true
380,vampir bambi rare fang deer confirm afghanistan year,true
381,alright till found paul walker die,true
382,hand shoot use ten thousand form protest hong kong power,true
383,french polic chief kill charliehebdo attack,true
384,sever hostag flee cafe sieg sydney local medium say,true
385,rememb paul walker fast furiou star happi hour tragic death,true
386,sc state senat also oppos bill would make harder domest abus gun,true
387,eulog show chang kid tv forev gravityfal,false
388,microsoft buy mojang report billion deal could sign week,true
389,author collect passport mh crash site australian coat arm clearli visibl,true
390,beatl rooftop concert happen year ago today thing know,false
391,tweet orlando shoot,true
392,big bank hank sugarhil gang famou hit rapper delight dead,true
393,power wife son isi leader abu bakr al baghdadi arrest sourc,true
394,transgend year old left suicid note tumblr plead fix societi,true
395,quot day,false
396,paul walker die age saturday heart go famili friend,true
397,holi shit dorito flavor mountain dew lost abandon hope,true
398,nhl expans la vega reportedli done deal,true
399,lazi trait black book quot trump say,true
400,mass grave found mexico town student went miss,true
401,mr presid stop mansplain need govern care child sotu,true
402,broadcast premier pillowtalk mtv right,false
403,ibtihaj muhammad win bronz fenc becom first olympian compet hijab,false
404,least two peopl dead shoot school northern saskatchewan canadian govern offici said,false
405,rememb paul walker,true
406,alpha male rt photo vladimir putin motorcad post without comment,true
407,darren wilson paid abc interview hand racism capit continu wash one anoth,true
408,r p driver die paul walker one care famou,true
409,break fsu shooter identifi myron may lawyer graduat fsu attend texa tech law school fsushoot,true
410,puppi size spider surpris scientist rainforest,true
411,citi louisiana made twerk illeg impos punish day jail first offens,true
412,sugarhil gang rapper big bank hank die age read legaci contribut hip hop,true
413,afghanistan lot know need deer fang god,true
414,hillari clinton strategist bob beckel call wikileak editor julian assang assassin dncleak,true
415,tedcruz broke promis american peopl immigr cnnsotu,false
416,caus death usa june,true
417,exclus angelina joli visit professor georgetown univers,false
418,elvi presley born day,false
419,nine briton child fear dead flight mh shot,true
420,letter written parent insid lego set perfect,true
421,histor first intern crimin court classifi destroy cultur artifact war crime,false
422,sudden tragic death paulwalk remind u take even moment grant blink sosad,true
423,paul walker rememb celeb react fast furiou star death,true
424,power lego letter parent gender creativ real,true
425,rest peac big bank hank sugarhil gang dead,true
426,wow obama dis stay home mom choic want american make,true
427,tedcruz berni socialist admit hillari socialist pretend,false
428,darren wilson paid would pain remind destroy black life remain profit america ferguson,true
429,sourc microsoft discus buy minecraft maker mojang billion,true
430,pregnant woman lost eye shot bean bag polic ferguson,true
431,hear berni sander flip clark counti nevada state convent may entir state feelthebern,true
432,surfac air missil ukrain say shot malaysia airlin plane,true
433,know know heart muslim new york share experi,false
434,christian bale talk play steve job danni boyl job written aaron sorkin,true
435,harri potter star react tragic news alan rickman death,false
436,asiago ranch wich art call u leonardo da ranchi actual plea,true
437,specul arrest banksi debut new mural bristol,true
438,research encount goliath birdeat world largest spider,true
439,come america soon kfc ban alcohol base wet wipe muslim offend tcot,true
440,survey vegetarian admit eat meat drunk,true
441,hewlett packard announc break two,true
442,offici took away halloween decor report real suicid victim,true
443,banksi prove arrest put new piec bristol take look,true
444,starv beast destroy civilsocieti target stock sink billion,true
445,ferguson chief let day go disclos repeat q cop kill mikebrown knew noth robberi danger,true
446,keep say simon bile throw gold medal ador men gymnast team rio,false
447,let u start boycot koch industi paid georg zimmerman legal fee justicefortrayvon jurorb,true
448,woah olivia pope ditch white hat hot new look badass scandal promo,false
449,bachmann slam classless obama skip nanci reagan funer,true
450,ferguson pd charg henrydavi w destruct properti bleed uniform,true
451,uniform canadian soldier shot war memori ottawa,true
452,layton polic offic hospit subway worker serv meth thc drink video,true
453,break fbi uncov new audio neighbor skype lawyer count shot mikebrown,true
454,canadian mayor tell muslim pound pork refus remov pork school canteen,true
455,sure first dump pluto call dwarf planet drive hous make sure date solar system,false
456,bad news friend fan whole cast reunit februari,false
457,break miss afghan soldier reportedli found near canadian border,true
458,still sanction iran violat human right support terror ballist missil program potu,false
459,good sweet lord pepsi actual test dorito flavor mountain dew,true
460,onedirect new music video histori walk memori lane dhistoryvideo,false
461,vaughn food co worker wit murder tell news murder suspect alton nolen shout islam phrase fbi investig,true
462,irrit chick fil manag make list teen slang employe forbidden use,true
463,ex marlboro man die smoke relat diseas,true
464,man arrest two firearm entranc hotel disneyland pari french medium report,false
465,break foot tsunami report coquimbo earthquak tsunami,false
466,meet kenni tiger born syndrom proof perfect beauti,true
467,neurot woman turn neurot friend support,false
468,last pictur paul walker taken death car crash rippaulwalk fast furiou w,true
469,trump dem fail betray africanamerican commun trump lazi trait black realli,true
470,realli amber alert websit goe dark govern shutdown,true
471,mayb tupac aliv dead,true
472,new leak phone call rebel leader russian intel agent cossack shot mh,true
473,hasan get k victim deni armi benefit disgust wast tax garnish wage send red cross,true
474,photo black nurs save life kkk member,true
475,talk fact teletubbi sun babi year old,true
476,rip david bowi also rip battl cancer clich impli lost battl fight hard enough,false
477,judd nelson die last night sent u photo debunk rumor,true
478,fang deer spot afghanistan first time year,true
479,presid obama daughter wear pro era shirt,true
480,stevenunivers final return screen januari,false
481,perfect photo even mph optic imag stabil galaxynot,true
482,break news iraqi state tv confirm isi group leader al baghdadi wound airstrik,true
483,first gener kill combat zone sinc vietnam travesti obama attend major gener harold green funer,true
484,caitlyn jenner pose nude sport illustr cover ball censor sad michael jordan face,true
485,american famili associ get sign petit boycot target transgend bathroom polici,true
486,week top stori georg zimmerman win florida state lotteri,true
487,clinton hide fail health full disclosur covert doctor nurs via maga,true
488,fukushima highli radioact water seep ocean,true
489,transgend year old left suicid note tumblr plead fix societi,true
490,canadian teen find lost mayan citi,true
491,paul walker charact fast furiou name brian brian famili guy also die week death involv car umm,true
492,develop stori shot fire parliament hill soldier shot war memori ottawa,true
493,russian kid got zap faulti electr wire real life magneto,true
494,orlando shooter murder gay peopl regist democrat muslim medium go silent,true
495,black peopl stubborn chang pbagcharg,true
496,boe win contract build new air forc one presidenti jet,false
497,karma ferguson protestor accident burn hous tcot,true
498,stori year old stock whiz rumor net worth million made splash quickli unravel,true
499,letter trump voter top strategist turn defector know real believ,true
500,nyc break record snowiest day histori davidsnowi blizzard,false
501,obama gentli guid michel hand maneuv drone joystick,false
502,kfc ban wipe offend muslim ban islam instead halal kfc,true
503,non essenti servic shutdown someon explain essenti,true
504,ex new york giant safeti tyler sash die found degen brain diseas c e ny time,false
505,plastic bag use wale drop per cent sinc p charg introduc,true
506,heart goe love one fan paul walker die car wreck saturday word realli good dude rippaulwalk,true
507,cdc whistleblow expo ebola vaccin contain rfid chip nation report via,true
508,ex marlboro man die smoke relat diseas,true
509,oregon militiaman receiv fit nicknam yallqaeda,false
510,make dorito flavor mountain dew,true
511,st loui co polic tell ofcr shot man point handgun chamber sheffingdel man critic ferguson,true
512,islam tribun texa oper sharia law db tcot,true
513,zika viru everyth need know mosquito spread,false
514,man salad bar say everi item aloud add salad,false
515,big one larg scale motion detect along san andrea fault,true
516,animaloftheday first afghan fang deer seen year,true
517,charliehebdo shoot gunman shout aveng prophet attack report,true
518,killer american rank chang littl year,true
519,vp biden malaysia airlin mh shot accid blown sky,true
520,subaru get snowbound polic back patrol dontletwinterwin,true
521,rip roger roda man die paul walker fatal car crash dontforgethim,true
522,full lock notic ottawa polic,true
523,lego reveal new young disabl figur toylikem campaign,false
524,passeng african airport man homemad hazmat suit fli dull washington ebola,true
525,anyon think compar cloth mikebrown wear lay street secur footag ferguson,true
526,dointoomuch rt chick fil manag ban slang locat,true
527,mask men dress black involv migrant attack stockholm,false
528,gunman headband read soldier muhammad martinplac sydneysieg,true
529,landmark around world turn purpl honor princ princerip purplerain,true
530,power year old letter lego parent real,true
531,good news target stock plummet lbgtq bathroombil tcot pjnet rednationris,true
532,studi workplac injuri caus bare knuckl box,false
533,set first ever nation standard limit amount carbon pollut power plant emit potu,false
534,report indic isi leader abu bakr al baghdadi injur u air strike syria iraq,true
535,alarm isi use chemic weapon kurd koban savekoban drwidad,true
536,astronom say confirm exist galaxi largest solar system,false
537,jack white avett brother premier six part music doc sundanc report,false
538,depart justic file feder charg georgezimmerman,true
539,quot day american writer dorothi parker,false
540,video releas isi appar show murder british hostag david hain,true
541,canadian soldier shot ottawa war memori reservist serv argyl sutherland highland hamilton ont,true
542,pentagon offici skeptic iraqi claim wound islam state leader isi,true
543,disney world open new ordeal kingdom famili meltdown,false
544,iraqi offici state tv say airstrik wound islam state group leader al baghdadi,true
545,atheist mad applaud,true
546,surpris number vegetarian secretli eat meat,true
547,actor play marlboro man ad die smoke relat diseas,true
548,olymp u woman win th straight x relay gold give allyson felix career gold,false
549,plea tweet say pay compens darren wilson interview way wait ferguson,true
550,water leak fukushima could contamin entir pacif ocean,true
551,fact first time ever american health coverag acawork,false
552,stop believ see facebook rt ebola found hair extens bitch wear weav,true
553,disney make first movi featur two gay princ fall love amaz,true
554,former feder agent find stori hard believ even white hous spitehous,true
555,purpl memori landmark across globe honor princ death,true
556,paul walker die shortli attend chariti event organ reach worldwid,true
557,million dead bloodiest black friday weekend record,true
558,stephen collin cop swarm home suicid report fals alarm,true
559,fang deer pop afghanistan year last appear,true
560,break miss afghan soldier found tri cross border canada senior law enforc sourc tell nbc news,true
